Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Insulin receptor signalling cascade Homo sapiens R-HSA-74751	4/287	0.005695958	0.007943532	0	0	6.043017361	31.23030438	UBB;PEBP1;RPS27A;UBA52
DNA Double-Strand Break Repair Homo sapiens R-HSA-5693532	3/145	0.005703048	0.007943532	0	0	8.903805814	46.00377844	UBB;RPS27A;UBA52
IGF1R signaling cascade Homo sapiens R-HSA-2428924	4/288	0.005765678	0.007945634	0	0	6.021432945	31.04549992	UBB;PEBP1;RPS27A;UBA52
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) Homo sapiens R-HSA-2404192	4/288	0.005765678	0.007945634	0	0	6.021432945	31.04549992	UBB;PEBP1;RPS27A;UBA52
IRS-related events triggered by IGF1R Homo sapiens R-HSA-2428928	4/288	0.005765678	0.007945634	0	0	6.021432945	31.04549992	UBB;PEBP1;RPS27A;UBA52
FCERI mediated MAPK activation Homo sapiens R-HSA-2871796	4/289	0.005835967	0.00801418	0	0	6	30.86229163	UBB;PEBP1;RPS27A;UBA52
G2/M Checkpoints Homo sapiens R-HSA-69481	3/150	0.006263172	0.008570657	0	0	8.598784195	43.62222089	UBB;RPS27A;UBA52
Regulation of TP53 Activity Homo sapiens R-HSA-5633007	3/151	0.006379002	0.008698639	0	0	8.540253019	43.16878994	UBB;RPS27A;UBA52
The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517	3/153	0.006614494	0.008988337	0	0	8.425531915	42.28346391	NDUFA13;UQCRB;COX7C
Signaling by Insulin receptor Homo sapiens R-HSA-74752	4/311	0.007530507	0.010197562	0	0	5.563801161	27.20027138	UBB;PEBP1;RPS27A;UBA52
Cellular Senescence Homo sapiens R-HSA-2559583	3/161	0.007608098	0.010266984	0	0	7.995690816	39.00731366	UBB;RPS27A;UBA52
Apoptosis Homo sapiens R-HSA-109581	3/163	0.007869541	0.010583176	0	0	7.894946809	38.24908702	UBB;RPS27A;UBA52
Programmed Cell Death Homo sapiens R-HSA-5357801	3/166	0.00827159	0.011085636	0	0	7.748466258	37.15334207	UBB;RPS27A;UBA52
VEGFA-VEGFR2 Pathway Homo sapiens R-HSA-4420097	4/320	0.008308351	0.01109677	0	0	5.40286186	25.88237826	UBB;PEBP1;RPS27A;UBA52
Signaling by SCF-KIT Homo sapiens R-HSA-1433557	4/325	0.008762511	0.011663411	0	0	5.31735067	25.18974026	UBB;PEBP1;RPS27A;UBA52
Signaling by VEGF Homo sapiens R-HSA-194138	4/328	0.009042683	0.011995396	0	0	5.267310789	24.78690769	UBB;PEBP1;RPS27A;UBA52
Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	4/329	0.009137363	0.011998558	0	0	5.25083612	24.65468876	UBB;PEBP1;RPS27A;UBA52
Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	4/329	0.009137363	0.011998558	0	0	5.25083612	24.65468876	UBB;PEBP1;RPS27A;UBA52
Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	4/329	0.009137363	0.011998558	0	0	5.25083612	24.65468876	UBB;PEBP1;RPS27A;UBA52
Signaling by ERBB4 Homo sapiens R-HSA-1236394	4/330	0.009232692	0.012038368	0	0	5.234462523	24.52348128	UBB;PEBP1;RPS27A;UBA52
G2/M Transition Homo sapiens R-HSA-69275	3/173	0.009256239	0.012038368	0	0	7.426783479	34.77559741	UBB;RPS27A;UBA52
rRNA modification in the nucleus Homo sapiens R-HSA-6790901	Feb-58	0.009260283	0.012038368	0	0	14.80208333	69.30366021	FBL;RPS9
Signaling by FGFR4 Homo sapiens R-HSA-5654743	4/332	0.009425299	0.012171743	0	0	5.202014846	24.26405885	UBB;PEBP1;RPS27A;UBA52
Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687	4/332	0.009425299	0.012171743	0	0	5.202014846	24.26405885	UBB;PEBP1;RPS27A;UBA52
Signaling by FGFR3 Homo sapiens R-HSA-5654741	4/333	0.009522581	0.012251175	0	0	5.185938945	24.13582333	UBB;PEBP1;RPS27A;UBA52
Mitotic G2-G2/M phases Homo sapiens R-HSA-453274	3/175	0.009549634	0.012251175	0	0	7.339683325	34.1387199	UBB;RPS27A;UBA52
Signaling by FGFR1 Homo sapiens R-HSA-5654736	4/336	0.009818363	0.012554628	0	0	5.1382923	23.75689893	UBB;PEBP1;RPS27A;UBA52
Downstream signal transduction Homo sapiens R-HSA-186763	4/341	0.010324553	0.013158745	0	0	5.060766353	23.14405051	UBB;PEBP1;RPS27A;UBA52
Cell Cycle Checkpoints Homo sapiens R-HSA-69620	3/182	0.010619178	0.013468008	0	0	7.050160466	32.04363952	UBB;RPS27A;UBA52
DAP12 signaling Homo sapiens R-HSA-2424491	4/344	0.010636273	0.013468008	0	0	5.015345269	22.78714661	UBB;PEBP1;RPS27A;UBA52
Transcriptional Regulation by TP53 Homo sapiens R-HSA-3700989	4/348	0.011061331	0.013960903	0	0	4.956016178	22.32338335	UBB;RPS27A;COX7C;UBA52
Signaling by EGFR Homo sapiens R-HSA-177929	4/355	0.011831406	0.014884673	0	0	4.855444073	21.54359432	UBB;PEBP1;RPS27A;UBA52
Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372	3/192	0.012263449	0.015358257	0	0	6.673758865	29.37209407	UBB;RPS27A;UBA52
DAP12 interactions Homo sapiens R-HSA-2172127	4/359	0.012286606	0.015358257	0	0	4.799755052	21.11530111	UBB;PEBP1;RPS27A;UBA52
Signaling by MST1 Homo sapiens R-HSA-8852405	01-May	0.012438777	0.015498796	0	0	101.7653061	446.4379351	SPINT2
Signaling by FGFR2 Homo sapiens R-HSA-5654738	4/361	0.012518379	0.015548305	0	0	4.772378517	20.90567805	UBB;PEBP1;RPS27A;UBA52
Signaling by PDGF Homo sapiens R-HSA-186797	4/364	0.012871288	0.015935881	0	0	4.731884058	20.5967375	UBB;PEBP1;RPS27A;UBA52
Interferon Signaling Homo sapiens R-HSA-913531	3/196	0.012959886	0.015994796	0	0	6.534119722	28.39660725	UBB;RPS27A;UBA52
Signaling by FGFR Homo sapiens R-HSA-190236	4/366	0.013110078	0.016129118	0	0	4.705260629	20.3943594	UBB;PEBP1;RPS27A;UBA52
Developmental Biology Homo sapiens R-HSA-1266738	6/786	0.013189702	0.01617605	0	0	3.351398601	14.50592188	HSPA8;MYL6;UBB;PEBP1;RPS27A;UBA52
TCF dependent signaling in response to WNT Homo sapiens R-HSA-201681	3/199	0.013496844	0.016500844	0	0	6.433130699	27.69655353	UBB;RPS27A;UBA52
NGF signalling via TRKA from the plasma membrane Homo sapiens R-HSA-187037	4/374	0.014093623	0.017176603	0	0	4.601645123	19.61236283	UBB;PEBP1;RPS27A;UBA52
Ion channel transport Homo sapiens R-HSA-983712	3/203	0.014232379	0.017291675	0	0	6.303191489	26.80265596	UBB;RPS27A;UBA52
Signaling by Interleukins Homo sapiens R-HSA-449147	4/392	0.016475622	0.019954946	0	0	4.384132676	18.00069402	UBB;PEBP1;RPS27A;UBA52
Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202	4/395	0.016895769	0.020400464	0	0	4.349827644	17.75030712	UBB;PEBP1;RPS27A;UBA52
Regulation of HSF1-mediated heat shock response Homo sapiens R-HSA-3371453	Feb-80	0.017096519	0.020579144	0	0	10.61538462	43.1927303	HSPA8;UBB
HIV Infection Homo sapiens R-HSA-162906	3/222	0.018034417	0.021641301	0	0	5.750801516	23.09218986	UBB;RPS27A;UBA52
Terminal pathway of complement Homo sapiens R-HSA-166665	01-Aug	0.019829161	0.023722003	0	0	58.14285714	227.9549802	CLU
Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705	3/233	0.020470238	0.024414045	0	0	5.472710453	21.28218488	UBB;RPS27A;UBA52
Membrane Trafficking Homo sapiens R-HSA-199991	4/420	0.020660484	0.024565819	0	0	4.08319398	15.84088335	HSPA8;UBB;RPS27A;UBA52
CHL1 interactions Homo sapiens R-HSA-447041	01-Sep	0.022280559	0.026411605	0	0	50.87244898	193.5208699	HSPA8
Gastrin-CREB signalling pathway via PKC and MAPK Homo sapiens R-HSA-881907	4/432	0.022637765	0.026753722	0	0	3.966273872	15.02478393	UBB;PEBP1;RPS27A;UBA52
Cellular response to heat stress Homo sapiens R-HSA-3371556	Feb-96	0.024055644	0.028343509	0	0	8.80141844	32.80628046	HSPA8;UBB
Signalling by NGF Homo sapiens R-HSA-166520	4/450	0.025815235	0.030325126	0	0	3.802690583	13.90564259	UBB;PEBP1;RPS27A;UBA52
Antigen processing: Ubiquitination & Proteasome degradation Homo sapiens R-HSA-983168	3/260	0.027183444	0.031836466	0	0	4.891050584	17.63295721	UBB;RPS27A;UBA52
"Cell Cycle, Mitotic Homo sapiens R-HSA-69278"	4/462	0.028076514	0.032783953	0	0	3.700778432	13.22222209	RPS27;UBB;RPS27A;UBA52
Platelet degranulation Homo sapiens R-HSA-114608	2/105	0.028398043	0.033060409	0	0	8.028721683	28.5937707	CLU;SOD1
Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005	2/110	0.030936341	0.035908252	0	0	7.655092593	26.6077524	CLU;SOD1
Metabolism of carbohydrates Homo sapiens R-HSA-71387	3/282	0.033424127	0.03868074	0	0	4.500343171	15.29431406	UBB;RPS27A;UBA52
Vesicle-mediated transport Homo sapiens R-HSA-5653656	4/492	0.034237764	0.039492869	0	0	3.467925873	11.70225932	HSPA8;UBB;RPS27A;UBA52
DNA Repair Homo sapiens R-HSA-73894	3/285	0.034328417	0.039492869	0	0	4.451788139	15.01045813	UBB;RPS27A;UBA52
Diseases of signal transduction Homo sapiens R-HSA-5663202	3/288	0.035245426	0.040428577	0	0	4.404255319	14.73408167	UBB;RPS27A;UBA52
Signaling by Wnt Homo sapiens R-HSA-195721	3/295	0.037434417	0.042813556	0	0	4.29714369	14.116825	UBB;RPS27A;UBA52
RHO GTPases activate CIT Homo sapiens R-HSA-5625900	Jan-16	0.039272921	0.04478491	0	0	27.12244898	87.8013353	MYL6
Class I MHC mediated antigen processing & presentation Homo sapiens R-HSA-983169	3/305	0.040680625	0.046254938	0	0	4.152740595	13.29708925	UBB;RPS27A;UBA52
RHO GTPases Activate ROCKs Homo sapiens R-HSA-5627117	Jan-17	0.041676655	0.047249696	0	0	25.42602041	80.79916728	MYL6
mRNA Splicing - Major Pathway Homo sapiens R-HSA-72163	2/134	0.044284452	0.050060684	0	0	6.255681818	19.49972119	HSPA8;SNRPD2
"GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590"	Jan-19	0.046466455	0.052375484	0	0	22.59863946	69.35578083	HSPA8
Innate Immune System Homo sapiens R-HSA-168249	5/807	0.050274431	0.056452715	0	0	2.652812413	7.93259532	UBB;PEBP1;RPS27A;CLU;UBA52
mRNA Splicing Homo sapiens R-HSA-72172	2/144	0.050373192	0.056452715	0	0	5.812206573	17.3685945	HSPA8;SNRPD2
RHO GTPases activate PAKs Homo sapiens R-HSA-5627123	Jan-21	0.051232793	0.057251545	0	0	20.33673469	60.42807445	MYL6
Cell Cycle Homo sapiens R-HSA-1640170	4/566	0.052587454	0.058597449	0	0	2.999845273	8.835377404	RPS27;UBB;RPS27A;UBA52
Sema4D induced cell migration and growth-cone collapse Homo sapiens R-HSA-416572	Jan-24	0.058338553	0.064820614	0	0	17.68145519	50.24171555	MYL6
Sema4D in semaphorin signaling Homo sapiens R-HSA-400685	Jan-27	0.065392152	0.072451532	0	0	15.6389325	42.65288983	MYL6
Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	4/620	0.068807391	0.076019497	0	0	2.729249012	7.304682457	UBB;PEBP1;RPS27A;UBA52
HSF1 activation Homo sapiens R-HSA-3371511	Jan-29	0.070065759	0.07719109	0	0	14.52040816	38.59990691	UBB
Smooth Muscle Contraction Homo sapiens R-HSA-445355	Jan-33	0.079344366	0.086922198	0	0	12.70280612	32.18837517	MYL6
Detoxification of Reactive Oxygen Species Homo sapiens R-HSA-3299685	Jan-33	0.079344366	0.086922198	0	0	12.70280612	32.18837517	SOD1
EPHA-mediated growth cone collapse Homo sapiens R-HSA-3928663	Jan-34	0.081649804	0.089197265	0	0	12.31725417	30.85861217	MYL6
Lysosome Vesicle Biogenesis Homo sapiens R-HSA-432720	Jan-35	0.083949585	0.091246878	0	0	11.95438175	29.61744504	HSPA8
Processing of Capped Intron-Containing Pre-mRNA Homo sapiens R-HSA-72203	2/193	0.083993921	0.091246878	0	0	4.310427574	10.67697586	HSPA8;SNRPD2
MAP2K and MAPK activation Homo sapiens R-HSA-5674135	Jan-38	0.090815117	0.098383043	0	0	10.98345284	26.3485293	PEBP1
Complex I biogenesis Homo sapiens R-HSA-6799198	Jan-49	0.115559999	0.124843212	0	0	8.461734694	18.26013079	NDUFA13
Metabolism of non-coding RNA Homo sapiens R-HSA-194441	Jan-50	0.117776526	0.126536763	0	0	8.288629738	17.72909966	SNRPD2
snRNP Assembly Homo sapiens R-HSA-191859	Jan-50	0.117776526	0.126536763	0	0	8.288629738	17.72909966	SNRPD2
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	Jan-51	0.119987609	0.128558152	0	0	8.12244898	17.22257116	HSPA8
mRNA Splicing - Minor Pathway Homo sapiens R-HSA-72165	Jan-52	0.122193261	0.130562662	0	0	7.962785114	16.73897973	SNRPD2
Golgi Associated Vesicle Biogenesis Homo sapiens R-HSA-432722	Jan-54	0.126588324	0.134889198	0	0	7.661532538	15.83497038	HSPA8
"Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002"	2/253	0.131758207	0.140015533	0	0	3.270086321	6.627767796	CLU;SOD1
RHO GTPase Effectors Homo sapiens R-HSA-195258	2/255	0.133444511	0.141422172	0	0	3.243906456	6.533453162	MYL6;RPS27
RHO GTPases activate PKNs Homo sapiens R-HSA-5625740	Jan-60	0.139644523	0.147591772	0	0	6.880318229	13.5449743	MYL6
Generic Transcription Pathway Homo sapiens R-HSA-212436	4/812	0.144351346	0.152154121	0	0	2.060051657	3.987240385	UBB;RPS27A;COX7C;UBA52
Semaphorin interactions Homo sapiens R-HSA-373755	Jan-67	0.154635136	0.162554456	0	0	6.148423006	11.47718066	MYL6
trans-Golgi Network Vesicle Budding Homo sapiens R-HSA-199992	Jan-70	0.160981048	0.168317986	0	0	5.880212955	10.74002452	HSPA8
Clathrin derived vesicle budding Homo sapiens R-HSA-421837	Jan-70	0.160981048	0.168317986	0	0	5.880212955	10.74002452	HSPA8
Complement cascade Homo sapiens R-HSA-166658	Jan-80	0.18179876	0.189576248	0	0	5.133298889	8.751529843	CLU
Transmembrane transport of small molecules Homo sapiens R-HSA-382551	3/594	0.185246792	0.192656664	0	0	2.090830543	3.52527898	UBB;RPS27A;UBA52
TP53 Regulates Metabolic Genes Homo sapiens R-HSA-5628897	Jan-84	0.189983357	0.197057205	0	0	4.884927465	8.112979399	COX7C
EPH-Ephrin signaling Homo sapiens R-HSA-2682334	Jan-95	0.212079521	0.219392607	0	0	4.310898828	6.68531594	MYL6
L1CAM interactions Homo sapiens R-HSA-373760	Jan-96	0.21405872	0.220854235	0	0	4.265306122	6.574990324	HSPA8
Resolution of Sister Chromatid Cohesion Homo sapiens R-HSA-2500257	Jan-99	0.219967131	0.226351402	0	0	4.134110787	6.260189488	RPS27
Signaling by Rho GTPases Homo sapiens R-HSA-194315	2/367	0.233586645	0.239733662	0	0	2.235730594	3.251204349	MYL6;RPS27
Mitotic Prometaphase Homo sapiens R-HSA-68877	1/107	0.235510907	0.241074157	0	0	3.820562187	5.524525481	RPS27
RHO GTPases Activate Formins Homo sapiens R-HSA-5663220	1/114	0.248862408	0.254074186	0	0	3.582625971	4.982913653	RPS27
Adaptive Immune System Homo sapiens R-HSA-1280218	3/762	0.297044004	0.302473007	0	0	1.61390968	1.959084593	UBB;RPS27A;UBA52
Immune System Homo sapiens R-HSA-168256	5/1547	0.344071765	0.349447887	0	0	1.32641591	1.415159798	UBB;PEBP1;RPS27A;CLU;UBA52
Muscle contraction Homo sapiens R-HSA-397014	1/196	0.389222803	0.394277645	0	0	2.067503925	1.95090361	MYL6
Hemostasis Homo sapiens R-HSA-109582	2/552	0.403238074	0.407416707	0	0	1.46969697	1.334820139	CLU;SOD1
Signaling by GPCR Homo sapiens R-HSA-372790	4/1293	0.406432017	0.409582653	0	0	1.258879482	1.133417794	UBB;PEBP1;RPS27A;UBA52
Transmission across Chemical Synapses Homo sapiens R-HSA-112315	1/211	0.411957127	0.414080618	0	0	1.918367347	1.701277215	HSPA8
Signal Transduction Homo sapiens R-HSA-162582	Jul-65	0.421331693	0.422414808	0	0	1.158476356	1.001311529	MYL6;RPS27;UBB;PEBP1;SPINT2;RPS27A;UBA52
Neuronal System Homo sapiens R-HSA-112316	1/301	0.531938672	0.531938672	0	0	1.336734694	0.84378313	HSPA8
